count	date	hour
624	20120601	0
81	20120601	1
37	20120601	2
34	20120601	3
67	20120601	4
88	20120601	5
45	20120601	6
160	20120601	7
507	20120601	8
499	20120601	9
446	20120601	10
740	20120601	11
804	20120601	13
736	20120601	14
716	20120601	15
421	20120601	16
233	20120601	17
136	20120601	18
91	20120601	19
105	20120601	20
28	20120601	21
59	20120601	22
16	20120601	23
48	20120602	0
11	20120602	1
3	20120602	2
4	20120602	3
1	20120602	5
2	20120602	6
18	20120602	7
59	20120602	8
63	20120602	9
28	20120602	10
29	20120602	11
16	20120602	13
22	20120602	14
16	20120602	15
15	20120602	16
54	20120602	17
68	20120602	18
65	20120602	19
127	20120602	20
77	20120602	21
52	20120602	22
65	20120602	23
132	20120603	0
23	20120603	1
11	20120603	2
1	20120603	3
4	20120603	4
6	20120603	5
2	20120603	6
14	20120603	7
627	20120603	8
20	20120603	9
47	20120603	10
53	20120603	11
63	20120603	13
17	20120603	14
38	20120603	15
39	20120603	16
11	20120603	17
6	20120603	18
11	20120603	19
27	20120603	20
68	20120603	21
56	20120603	22
22	20120603	23
579	20120604	0
39	20120604	1
25	20120604	2
33	20120604	3
23	20120604	4
24	20120604	5
80	20120604	6
255	20120604	7
354	20120604	8
514	20120604	9
594	20120604	10
389	20120604	11
671	20120604	13
1282	20120604	14
662	20120604	15
1297	20120604	16
396	20120604	17
265	20120604	18
210	20120604	19
91	20120604	20
57	20120604	21
46	20120604	22
45	20120604	23
693	20120605	0
45	20120605	1
34	20120605	2
25	20120605	3
34	20120605	4
61	20120605	5
95	20120605	6
296	20120605	7
1135	20120605	8
486	20120605	9
672	20120605	10
522	20120605	11
669	20120605	13
629	20120605	14
786	20120605	15
673	20120605	16
586	20120605	17
258	20120605	18
187	20120605	19
231	20120605	20
151	20120605	21
58	20120605	22
53	20120605	23
603	20120606	0
24	20120606	1
64	20120606	2
47	20120606	3
46	20120606	4
82	20120606	5
80	20120606	6
366	20120606	7
488	20120606	8
472	20120606	9
673	20120606	10
672	20120606	11
764	20120606	13
700	20120606	14
782	20120606	15
628	20120606	16
485	20120606	17
258	20120606	18
184	20120606	19
182	20120606	20
59	20120606	21
46	20120606	22
26	20120606	23
707	20120607	0
64	20120607	1
39	20120607	2
74	20120607	3
103	20120607	4
98	20120607	5
119	20120607	6
325	20120607	7
385	20120607	8
478	20120607	9
519	20120607	10
595	20120607	11
681	20120607	13
956	20120607	14
739	20120607	15
887	20120607	16
499	20120607	17
299	20120607	18
139	20120607	19
145	20120607	20
54	20120607	21
53	20120607	22
89	20120607	23
782	20120608	0
33	20120608	1
68	20120608	2
57	20120608	3
88	20120608	4
64	20120608	5
124	20120608	6
296	20120608	7
462	20120608	8
494	20120608	9
739	20120608	10
553	20120608	11
765	20120608	13
901	20120608	14
804	20120608	15
611	20120608	16
292	20120608	17
133	20120608	18
101	20120608	19
111	20120608	20
15	20120608	21
3	20120608	22
31	20120608	23
36	20120609	0
9	20120609	1
1	20120609	3
2	20120609	4
12	20120609	5
21	20120609	6
17	20120609	7
11	20120609	8
16	20120609	9
22	20120609	10
19	20120609	11
52	20120609	13
33	20120609	14
37	20120609	15
76	20120609	16
72	20120609	17
52	20120609	18
70	20120609	19
19	20120609	20
16	20120609	21
8	20120609	22
2	20120609	23
54	20120610	0
11	20120610	1
13	20120610	2
4	20120610	3
23	20120610	4
33	20120610	5
3	20120610	6
38	20120610	7
25	20120610	8
35	20120610	9
38	20120610	10
78	20120610	11
74	20120610	13
63	20120610	14
24	20120610	15
49	20120610	16
24	20120610	17
10	20120610	18
30	20120610	19
74	20120610	20
104	20120610	21
74	20120610	22
136	20120610	23
775	20120611	0
37	20120611	1
57	20120611	2
112	20120611	3
55	20120611	4
59	20120611	5
116	20120611	6
276	20120611	7
499	20120611	8
1149	20120611	9
908	20120611	10
695	20120611	11
749	20120611	13
736	20120611	14
887	20120611	15
735	20120611	16
426	20120611	17
276	20120611	18
145	20120611	19
134	20120611	20
221	20120611	21
75	20120611	22
41	20120611	23
836	20120612	0
39	20120612	1
71	20120612	2
98	20120612	3
49	20120612	4
58	20120612	5
71	20120612	6
347	20120612	7
537	20120612	8
604	20120612	9
759	20120612	10
888	20120612	11
816	20120612	13
796	20120612	14
745	20120612	15
817	20120612	16
451	20120612	17
382	20120612	18
186	20120612	19
131	20120612	20
56	20120612	21
71	20120612	22
40	20120612	23
685	20120613	0
56	20120613	1
88	20120613	2
119	20120613	3
99	20120613	4
110	20120613	5
122	20120613	6
404	20120613	7
535	20120613	8
643	20120613	9
811	20120613	10
721	20120613	11
642	20120613	13
749	20120613	14
881	20120613	15
754	20120613	16
1133	20120613	17
356	20120613	18
700	20120613	19
376	20120613	20
137	20120613	21
94	20120613	22
103	20120613	23
710	20120614	0
92	20120614	1
52	20120614	2
67	20120614	3
95	20120614	4
106	20120614	5
126	20120614	6
305	20120614	7
446	20120614	8
593	20120614	9
663	20120614	10
476	20120614	11
815	20120614	13
783	20120614	14
777	20120614	15
657	20120614	16
505	20120614	17
371	20120614	18
163	20120614	19
92	20120614	20
41	20120614	21
33	20120614	22
46	20120614	23
673	20120615	0
63	20120615	1
65	20120615	2
77	20120615	3
77	20120615	4
57	20120615	5
81	20120615	6
254	20120615	7
596	20120615	8
657	20120615	9
745	20120615	10
582	20120615	11
750	20120615	13
573	20120615	14
576	20120615	15
390	20120615	16
304	20120615	17
213	20120615	18
149	20120615	19
49	20120615	20
43	20120615	21
46	20120615	22
17	20120615	23
197	20120616	0
9	20120616	1
6	20120616	2
2	20120616	3
9	20120616	4
28	20120616	7
76	20120616	8
65	20120616	9
18	20120616	10
23	20120616	11
11	20120616	13
31	20120616	14
24	20120616	15
43	20120616	16
19	20120616	17
4	20120616	18
